Account,TaxStatus,Identifier,Sleeve,Action,Shares_Delta,Price,AverageCost,Delta_$,CapGain_$
Fidelity Brokerage,Taxable,SPAXX,Cash,BUY,4697.21,1.0,1.0,4697.21,0.0
Fidelity Brokerage,Taxable,AGG,IG_Core,BUY,673.5,100.18,0.0,67471.23000000001,0.0
Fidelity Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,2310.7,49.41,0.0,114171.68699999998,0.0
Fidelity Brokerage,Taxable,91282CCF6,Treasuries,BUY,312.3,98.05,0.0,30621.015,0.0
Fidelity Brokerage,Taxable,MARUY,US_Core,SELL,-325.0,256.43,61.25,-83339.75,63433.5
Fidelity Brokerage,Taxable,MSBHF,US_Core,SELL,-2433.0,23.68,8.08,-57613.44,37954.799999999996
Fidelity Brokerage,Taxable,MITSY,US_Core,SELL,-110.0,499.33,183.21,-54926.299999999996,34773.2
Fidelity Brokerage,Taxable,FBCV,US_Core,SELL,-1332.7,34.43,21.54,-45884.861000000004,17178.503
Fidelity Brokerage,Taxable,SSUMY,US_Core,SELL,-1545.0,29.6,12.91,-45732.0,25786.050000000003
Fidelity Brokerage,Taxable,ITOCY,US_Core,SELL,-383.0,114.2,52.15,-43738.6,23765.15
Fidelity Brokerage,Taxable,FBND,US_Core,SELL,-368.0,46.33,46.25,-17049.44,29.439999999999372
Fidelity Brokerage,Taxable,IVW,US_Growth,BUY,692.2,121.06,0.0,83797.732,0.0
Fidelity Brokerage,Taxable,VTV,US_Value,BUY,253.4,187.53,0.0,47520.102,0.0
WING Trust,Trust,SPAXX,Cash,BUY,76348.76,1.0,0.0,76348.76,0.0
WING Trust,Trust,TSM,EM,SELL,-1340.0,292.19,72.77,-391534.6,294022.80000000005
WING Trust,Trust,FNDE,EM,SELL,-5352.3,36.32,26.86,-194395.53600000002,50632.75800000001
WING Trust,Trust,EMXC,EM,SELL,-909.0,68.85,64.61,-62584.649999999994,3854.1599999999953
WING Trust,Trust,XLE,Energy,SELL,-3411.7,88.91,83.91,-303334.247,17058.5
WING Trust,Trust,AGG,IG_Core,BUY,7332.9,100.18,0.0,734609.922,0.0
WING Trust,Trust,BNDX,IG_Intl_Hedged,BUY,25160.1,49.41,0.0,1243160.5409999997,0.0
WING Trust,Trust,FNDF,Intl_DM,SELL,-3957.8,43.73,29.5,-173074.59399999998,56319.49399999999
WING Trust,Trust,FNDC,Intl_DM,SELL,-3332.2,44.97,32.57,-149849.03399999999,41319.27999999999
WING Trust,Trust,91282CCF6,Treasuries,BUY,3400.9,98.05,0.0,333458.245,0.0
WING Trust,Trust,SCHV,US_Core,SELL,-10683.0,29.26,22.62,-312584.58,70935.12000000001
WING Trust,Trust,DFAU,US_Core,SELL,-5319.1,46.01,29.31,-244731.791,88828.97
WING Trust,Trust,SCHM,US_Core,SELL,-6183.4,30.04,23.52,-185749.33599999998,40315.768
WING Trust,Trust,SCHB,US_Core,SELL,-6620.4,25.84,15.85,-171071.136,66137.796
WING Trust,Trust,IMCG,US_Core,SELL,-1832.5,82.98,57.69,-152060.85,46343.92500000001
WING Trust,Trust,VB,US_Core,SELL,-587.1,257.86,199.66,-151389.606,34169.22000000001
WING Trust,Trust,AMAT,US_Core,SELL,-344.0,217.53,145.22,-74830.32,24874.64
WING Trust,Trust,IVW,US_Growth,BUY,959.0,121.06,66.28,116096.54000000001,0.0
WING Trust,Trust,SCHA,US_SmallValue,SELL,-4886.3,28.26,22.66,-138086.83800000002,27363.28000000001
WING Trust,Trust,VTV,US_Value,BUY,1075.1,187.53,146.31,201613.503,0.0
Schwab Brokerage,Taxable,SPAXX,Cash,BUY,37807.16,1.0,0.0,37807.16,0.0
Schwab Brokerage,Taxable,VWO,EM,SELL,-3998.8,54.79,42.4,-219094.252,49545.132000000005
Schwab Brokerage,Taxable,AGG,IG_Core,SELL,-1543.9,100.18,100.3,-154667.90200000003,-185.26799999998508
Schwab Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,12459.0,49.41,0.0,615599.19,0.0
Schwab Brokerage,Taxable,91282CCF6,Treasuries,SELL,-910.0,98.05,95.01,-89225.5,2766.399999999993
Schwab Brokerage,Taxable,912833PB0,Treasuries,SELL,-910.0,95.97,95.33,-87332.7,582.4000000000005
Schwab Brokerage,Taxable,912833PD6,Treasuries,SELL,-910.0,94.31,93.24,-85822.1,973.7000000000068
Schwab Brokerage,Taxable,91282CAY7,Treasuries,SELL,-910.0,93.94,89.82,-85485.4,3749.2000000000044
Schwab Brokerage,Taxable,912833WQ9,Treasuries,SELL,-900.0,90.93,88.85,-81837.0,1872.0000000000114
Schwab Brokerage,Taxable,912833WR7,Treasuries,SELL,-800.0,89.2,86.77,-71360.0,1944.0000000000055
Schwab Brokerage,Taxable,912833XS4,Treasuries,SELL,-800.0,87.46,84.74,-69968.0,2175.999999999999
Schwab Brokerage,Taxable,912833XT2,Treasuries,SELL,-457.2,85.71,83.31,-39186.611999999994,1097.279999999996
Schwab Brokerage,Taxable,IJR,US_Core,SELL,-1074.3,120.08,103.47,-129001.94399999999,17844.123
Schwab Brokerage,Taxable,AMZN,US_Growth,BUY,926.3,219.51,90.53,203332.11299999998,0.0
Schwab Brokerage,Taxable,VTV,US_Value,BUY,1366.4,187.53,0.0,256240.99200000003,0.0
Vanguard Brokerage,Taxable,SPAXX,Cash,BUY,12981.91,1.0,0.0,12981.91,0.0
Vanguard Brokerage,Taxable,VDE,Energy,SELL,-500.0,125.57,85.45,-62785.0,20059.999999999996
Vanguard Brokerage,Taxable,AGG,IG_Core,BUY,1246.8,100.18,0.0,124904.424,0.0
Vanguard Brokerage,Taxable,BNDX,IG_Intl_Hedged,BUY,2032.1,49.41,48.99,100406.06099999999,0.0
Vanguard Brokerage,Taxable,VXUS,Intl_DM,SELL,-2428.0,74.66,52.3,-181274.47999999998,54290.08
Vanguard Brokerage,Taxable,VPL,Intl_DM,SELL,-201.0,89.69,72.25,-18027.69,3505.4399999999996
Vanguard Brokerage,Taxable,91282CCF6,Treasuries,BUY,578.3,98.05,0.0,56702.314999999995,0.0
Vanguard Brokerage,Taxable,VONG,US_Core,SELL,-134.0,120.92,78.4,-16203.28,5697.679999999999
Vanguard Brokerage,Taxable,AMZN,US_Growth,BUY,308.8,219.51,90.0,67784.688,0.0
Vanguard Brokerage,Taxable,VBR,US_SmallValue,SELL,-335.0,211.15,149.25,-70735.25,20736.500000000004
Vanguard Brokerage,Taxable,VOOV,US_Value,SELL,-68.5,200.69,145.31,-13747.265,3793.5299999999997
Fidelity HSA,HSA,FDRXX,Cash,BUY,795.69,1.0,1.0,795.69,0.0
Fidelity HSA,HSA,AGG,IG_Core,BUY,104.3,100.18,0.0,10448.774000000001,0.0
Fidelity HSA,HSA,BNDX,IG_Intl_Hedged,BUY,358.0,49.41,0.0,17688.78,0.0
Fidelity HSA,HSA,91282CCF6,Treasuries,BUY,48.4,98.05,0.0,4745.62,0.0
Fidelity HSA,HSA,IWO,US_Core,SELL,-166.0,325.46,319.59,-54026.35999999999,974.4200000000008
Fidelity HSA,HSA,IVW,US_Growth,BUY,107.2,121.06,0.0,12977.632000000001,0.0
Fidelity HSA,HSA,VTV,US_Value,BUY,39.3,187.53,0.0,7369.928999999999,0.0
Vanguard Roth IRA,ROTH IRA,SPAXX,Cash,BUY,21367.96,1.0,0.0,21367.96,0.0
Vanguard Roth IRA,ROTH IRA,VWO,EM,SELL,-4231.7,54.79,0.0,-231854.843,231854.843
Vanguard Roth IRA,ROTH IRA,VWOB,EM_USD,SELL,-3224.8,66.9,0.0,-215739.12000000002,215739.12000000002
Vanguard Roth IRA,ROTH IRA,AGG,IG_Core,BUY,2052.3,100.18,0.0,205599.41400000002,0.0
Vanguard Roth IRA,ROTH IRA,BNDX,IG_Intl_Hedged,BUY,7041.6,49.41,0.0,347925.456,0.0
Vanguard Roth IRA,ROTH IRA,VPL,Intl_DM,SELL,-1965.8,89.69,0.0,-176312.60199999998,176312.60199999998
Vanguard Roth IRA,ROTH IRA,91282CCF6,Treasuries,BUY,951.8,98.05,0.0,93323.98999999999,0.0
Vanguard Roth IRA,ROTH IRA,VYMI,US_Core,SELL,-1921.5,85.39,0.0,-164076.885,164076.885
Vanguard Roth IRA,ROTH IRA,91282CML2,US_Core,SELL,-860.0,102.92,0.0,-88511.2,88511.2
Vanguard Roth IRA,ROTH IRA,912810UH9,US_Core,SELL,-360.0,97.76,0.0,-35193.6,35193.6
Vanguard Roth IRA,ROTH IRA,912810TP#,US_Core,SELL,-320.0,80.08,0.0,-25625.6,25625.6
Vanguard Roth IRA,ROTH IRA,912810QP6,US_Core,SELL,-210.0,99.87,0.0,-20972.7,20972.7
Vanguard Roth IRA,ROTH IRA,912810RF7,US_Core,SELL,-240.0,85.49,0.0,-20517.6,20517.6
Vanguard Roth IRA,ROTH IRA,912810SG4,US_Core,SELL,-270.0,73.8,0.0,-19926.0,19926.0
Vanguard Roth IRA,ROTH IRA,912810RW0,US_Core,SELL,-250.0,73.83,0.0,-18457.5,18457.5
Vanguard Roth IRA,ROTH IRA,912810QV3,US_Core,SELL,-230.0,79.25,0.0,-18227.5,18227.5
Vanguard Roth IRA,ROTH IRA,912810RA8,US_Core,SELL,-230.0,75.94,0.0,-17466.2,17466.2
Vanguard Roth IRA,ROTH IRA,912810SV1,US_Core,SELL,-279.9,55.46,0.0,-15523.253999999999,15523.253999999999
Vanguard Roth IRA,ROTH IRA,IVW,US_Growth,BUY,2109.4,121.06,0.0,255363.964,0.0
Vanguard Roth IRA,ROTH IRA,VTV,US_Value,BUY,772.3,187.53,0.0,144829.419,0.0
